CodePoint String PositionChange
00065152 ﺀﺀB >3725094a3725096
00065152 ﺀﺀB <3725104d3725107
00065152 ﺀﺀBB >3725096a3725099
00065152 ﺀﺀBB <3725106d3725108
00065152 ﺀﺀD >3725098a3725102
00065152 ﺀﺀD <3725108d3725109
00065152 ﺀﺀDD >3725100a3725105
00065152 ﺀﺀDD <3725110d3725110
00065153 BﺁﺁB >2074438a2074439
00065153 BﺁﺁB <2074451,2074458d2074458
00065153 DﺁﺁD >3674414a3674415
00065153 DﺁﺁD <3674427,3674434d3674434
00065153 ﺁﺁ >3725115a3725116
00065153 ﺁﺁ <3725175,3725182d3725214
00065153 ﺁﺁB >3725127a3725136
00065153 ﺁﺁB <3725187,3725194d3725218
00065153 ﺁﺁBB >3725139a3725156
00065153 ﺁﺁBB <3725199,3725206d3725222
00065153 ﺁﺁD >3725151a3725176
00065153 ﺁﺁD <3725211,3725218d3725226
00065153 ﺁﺁDD >3725163a3725196
00065153 ﺁﺁDD <3725223,3725230d3725230
00065154 BﺂﺂB >2074439a2074441
00065154 BﺂﺂB <2074451,2074458d2074458
00065154 DﺂﺂD >3674415a3674417
00065154 DﺂﺂD <3674427,3674434d3674434
00065154 ﺂﺂ >3725116a3725118
00065154 ﺂﺂ <3725175,3725182d3725214
00065154 ﺂﺂB >3725128a3725138
00065154 ﺂﺂB <3725187,3725194d3725218
00065154 ﺂﺂBB >3725140a3725158
00065154 ﺂﺂBB <3725199,3725206d3725222
00065154 ﺂﺂD >3725152a3725178
00065154 ﺂﺂD <3725211,3725218d3725226
00065154 ﺂﺂDD >3725164a3725198
00065154 ﺂﺂDD <3725223,3725230d3725230
00065155 BﺃﺃB >2074440a2074443
00065155 BﺃﺃB <2074451,2074458d2074458
00065155 DﺃﺃD >3674416a3674419
00065155 DﺃﺃD <3674427,3674434d3674434
00065155 ﺃﺃ >3725117a3725120
